!SIL SIL
<SPOKEN_NOISE> SPN
<UNK> SPN
A	ɑː 
KVELDSTID	k v ɛ l l s t iː d 
KVELDSTUR	k v ɛ l l s t ʉː r 
KVELER	k v eː l ə r 
KVENVÆR	k v ɛ n v aː r 
KVERULANTEN	k v eː r ʉː l ɑ n t ə n 
KVIBY	k v iː b yː 
KVIER	k v iː ə r 
KVIKKE	k v ɪ kː a 
KVIKNE	k v ɪ k n a 
KVINNE	k v ɪ n n a 
KVINNEBLIKK	k v ɪ n n ə b l ɪ kː 
KVINNEHELSE	k v ɪ n n eː h ɛ l s a 
KVINNELIG	k v ɪ n n eː l ɪ 
KVINNELIGE	k v ɪ n n eː l iː ɡ a 
KVINNEN	k v ɪ n n ə n 
KVINNENE	k v ɪ n n ɛ n a 
KVINNENES	k v ɪ n n eː n ə s 
KVINNENS	k v ɪ n n ə n s 
KVINNER	k v ɪ n n ə r 
KVINNERPUNKTUM	k v ɪ n n a r p ʉ ŋ k t ʉː m 
KVINNESKIKKELSE	k v ɪ n n ə ʃ ɪ kː ɛ l s a 
KVINNESKIKKELSEN	k v ɪ n n ə ʃ ɪ kː ɛ l s ə n 
KVINNFOLK	k v ɪ n f ɔ l k 
KVITESEID	k v iː t eː s aɪ d 
KVITT	k v ɪ tː 
KVITTE	k v ɪ tː a 
KVITTERING	k v ɪ tː eː r ɪ ŋ 
KVOTEFLYKTNINGENE	k v uː t ə f l y k t n ɪ ŋ ɛ n a 
KVOTEKUTT	k v uː t eː k ʉ tː 
KVOTEN	k v uː t ə n 
KVOTER	k v uː t ə r 
KVOTERING	k v uː t eː r ɪ ŋ 
KVÅLE	k v oː l a 
KYBERNETIKK	x yː b a r n eː t ɪ kː 
KYLLINGFILET	x y l l ɪ ŋ f iː l ə t 
KYLLINGPRODUSENTENE	x y l l ɪ ŋ p r uː d ʉː s ɛ n t ɛ n a 
KYLLINGSTYKKE	x y l l ɪ ŋ s t y kː a 
KYSTARTILLERIET	x y s t ɑ r t ɪ l l eː r iː ə t 
KYSTEN	x y s t ə n 
KYSTENE	x y s t ɛ n a 
KYSTFLÅTEN	x y s t f l oː t ə n 
KYSTOMRÅDER	x y s t ɔ m r oː d ə r 
KYSTSTRIPEN	x y s t s t r iː p ə n 
KYSTVAKTEN	x y s t v ɑ k t ə n 
KÅPA	k oː p ɑ 
KÅRING	k oː r ɪ ŋ 
KÅRINGEN	k oː r ɪ ŋ ə n 
KØ	k øː 
KØEN	k øː ə n 
KØENE	k øː ɛ n a 
KØER	k øː ə r 
L	ɛ l 
LA	l ɑ 
LABORATORIEEKSPERIMENTER	l a b uː r a t uː r iː eː ɛ k s p eː r iː m ɛ n t ə r 
LABORATORIERESSURSER	l a b uː r a t uː r iː eː r ɛ s s ʉ r ʃ ə r 
LABORATORIET	l a b uː r a t uː r iː ə t 
LABORATORIUM	l a b uː r a t uː r iː ʉː m 
LAE	l aː 
LAG	l a ɡ 
LAGE	l a ɡ a 
LAGER	l a ɡ ə r 
LAGES	l a ɡ ə s 
LAGET	l a ɡ ə t 
LAGKAPTEIN	l ɑ ɡ k ɑ p t aɪ n 
LAGLEDEREN	l ɑ ɡ l eː d eː r ə n 
LAGMANNSRETTEN	l ɑ ɡ m ɑ n s r ɛ tː ə n 
LAGRE	l ɑ ɡ r a 
LAGRENE	l ɑ ɡ r ɛ n a 
LAGS	l ɑ ɡ s 
LAGT	l ɑ ɡ t 
LAILA	l ɑɪ l ɑ 
LAKKERT	l ɑ kː a r t 
LAKRISROT	l ɑ k r ɪ s r uː t 
LAKSEFISKE	l ɑ k s eː f ɪ s k a 
LAKSEFISKERE	l ɑ k s eː f ɪ s k eː r a 
LAKSEN	l ɑ k s ə n 
LAKSEPRISENE	l ɑ k s ə p r iː s ɛ n a 
LAMPE	l ɑ m p a 
LAND	l ɑ n n 
LANDBRUKET	l ɑ n n b r ʉː k ə t 
LANDBRUKSORGANISASJONENE	l ɑ n n b r ʉ k s ɔ r ɡ a n iː s ɑ ʃ uː n ɛ n a 
LANDBRUKSVARER	l ɑ n n b r ʉ k s v a r ə r 
LANDDISTRIKT	l ɑ n n d ɪ s t r ɪ k t 
LANDE	l ɑ n n a 
LANDEGRENSER	l ɑ n n ə ɡ r ɛ n s ə r 
LANDEMERKE	l ɑ n n eː m a r k a 
LANDENE	l ɑ n n ɛ n a 
LANDET	l ɑ n n ə t 
LANDETS	l ɑ n n ɛ t s 
LANDINGER	l ɑ n n ɪ ŋ ə r 
LANDINGSSTRIPE	l ɑ n n ɪ ŋ s s t r iː p a 
LANDS	l ɑ n n s 
LANDSBY	l ɑ n n s b yː 
LANDSBYEN	l ɑ n n s b yː ə n 
LANDSBYENE	l ɑ n n s b yː ɛ n a 
LANDSBYER	l ɑ n n s b yː ə r 
LANDSBYFELLESSKAPET	l ɑ n n s b yː f ɛ l l ə s s k a p ə t 
LANDSBYGDA	l ɑ n n s b y ɡ d ɑ 
LANDSBYGDENE	l ɑ n n s b y ɡ d ɛ n a 
LANDSDELEN	l ɑ n n s d eː l ə n 
LANDSFORBUNDET	l ɑ n n s f ɔ r b ʉ n n ə t 
LANDSKAP	l ɑ n n s k a p 
LANDSKAPET	l ɑ n n s k a p ə t 
LANDSKAPSARKITEKTER	l ɑ n n s k ɑ p s ɑ r x iː t ɛ k t ə r 
LANDSKAPSBILDET	l ɑ n n s k ɑ p s b ɪ l l ə t 
LANDSLAGET	l ɑ n n ʃ l a ɡ ə t 
LANDSMØTE	l ɑ n n s m øː t a 
LANDSMØTET	l ɑ n n s m øː t ə t 
LANDSOMFATTENDE	l ɑ n n s ɔ m f ɑ tː ɛ n n a 
LANDSTARIFFENE	l ɑ n n s t a r ɪ f f ɛ n a 
LANG	l ɑ ŋ 
LANGE	l ɑ ŋ a 
LANGFLATE	l ɑ ŋ f l a t a 
LANGS	l ɑ ŋ s 
LANGSIKTIGE	l ɑ ŋ s ɪ k t iː ɡ a 
LANGSOMME	l ɑ ŋ s ɔ m m a 
LANGSOMT	l ɑ ŋ s ɔ m t 
LANGT	l ɑ ŋ t 
LANGTFRA	l ɑ ŋ t f r ɑ 
LANGTIDSBOLIGERPUNKTUM	l ɑ ŋ t ɪ d s b uː l iː ɡ a r p ʉ ŋ k t ʉː m 
LANGTIDSFRAVÆRET	l ɑ ŋ t ɪ d s f r a v aː r ə t 
LANGTIDSLEDIGHETEN	l ɑ ŋ t ɪ d ʃ l eː d ɪ ɡ h eː t ə n 
LANGTIDSOPPFØLGING	l ɑ ŋ t ɪ d s ɔ pː f œ l j ɪ ŋ 
LANGTIDSPARKERING	l ɑ ŋ t ɪ d s p ɑ r k eː r ɪ ŋ 
LANGTIDSUTDANNEDES	l ɑ ŋ t ɪ d s ʉ t d ɑ n n eː d ə s 
LANSERES	l ɑ n s eː r ə s 
LAPP	l ɑ pː 
LAPPER	l ɑ pː ə r 
LAPSKAUSEN	l ɑ p s k aʊ s ə n 
LAR	l a r 
LARDAL	l ɑ r d a l 
LARSSON	l ɑ r ʃ s uː n 
LARVENE	l ɑ r v ɛ n a 
LASSET	l ɑ s s ə t 
LASTE	l ɑ s t a 
LASTEMULIGHETEN	l ɑ s t eː m ʉː l ɪ ɡ h eː t ə n 
LASTEROM	l ɑ s t eː r uː m 
LASTESTED	l ɑ s t ɛ s t ə d 
LATER	l a t ə r 
LATIN	l a t iː n 
LATINAMERIKANSKE	l a t iː n a m eː r iː k ɑ n s k a 
LATINSKE	l a t ɪ n s k a 
LATINSKOLE	l a t ɪ n s k uː l a 
LATT	l ɑ tː 
LATTER	l ɑ tː ə r 
LATTERLIG	l ɑ tː a r l ɪ 
LATTERLIGGJORT	l ɑ tː a r l ɪ ɡː j ʊ r t 
LATTERLIGGJORTE	l ɑ tː a r l ɪ ɡː j ʊ r t a 
LATTERLIGGJØRING	l ɑ tː a r l ɪ ɡː j øː r ɪ ŋ 
LAURA	l aʊ r ɑ 
LAURITSEN	l aʊ r ɪ t s ə n 
LAV	l a v 
LAVANGEN	l a v ɑ ŋ ə n 
LAVE	l a v a 
LAVERE	l a v eː r a 
LAVMÆLT	l ɑ v m a l t 
LAVT	l ɑ v t 
LAVTFLYVENDE	l ɑ v t f l yː v ɛ n n a 
LAVTLØNNEDE	l ɑ v t l œ n n eː d a 
LE	l eː 
LEBESBY	l eː b ə s b yː 
LED	l eː d 
LEDD	l ɛ dː 
LEDE	l eː d a 
LEDEFOSSILER	l eː d eː f ɔ s s iː l ə r 
LEDELSE	l eː d ɛ l s a 
LEDELSEN	l eː d ɛ l s ə n 
LEDELSENS	l eː d ɛ l s ə n s 
LEDENDE	l eː d ɛ n n a 
LEDER	l eː d ə r 
LEDERE	l eː d eː r a 
LEDEREN	l eː d eː r ə n 
LEDERLØNNINGER	l eː d a r l œ n n ɪ ŋ ə r 
LEDERNE	l eː d a r n a 
LEDERPLASS	l eː d a r p l ɑ s 
LEDERROLLEN	l eː d a r r ɔ l l ə n 
LEDES	l eː d ə s 
LEDET	l eː d a 
LEDIGE	l eː d iː ɡ a 
LEDIGGANG	l eː d ɪ ɡː ɑ ŋ 
LEDIGHETEN	l eː d ɪ ɡ h eː t ə n 
LEDIGHETSTRYGD	l eː d ɪ ɡ h ɛ t s t r y ɡ d 
LEDNINGENE	l ɛ d n ɪ ŋ ɛ n a 
LEDNINGSBRUDDKOMMA	l ɛ d n ɪ ŋ s b r ʉ dː k ɔ m m ɑ 
LEDSAGES	l ɛ d s a ɡ ə s 
LEFSE	l ɛ f s a 
LEGDPUNKTUM	l ɛ ɡ d p ʉ ŋ k t ʉː m 
LEGE	l eː ɡ a 
LEGEATTEST	l eː ɡ eː ɑ tː ɛ s t 
LEGEDEKNINGEN	l eː ɡ eː d ɛ k n ɪ ŋ ə n 
LEGEDISTRIKTER	l eː ɡ eː d ɪ s t r ɪ k t ə r 
LEGEFORENING	l eː ɡ eː f uː r eː n ɪ ŋ 
LEGEFORENINGEN	l eː ɡ eː f uː r eː n ɪ ŋ ə n 
LEGEFORENINGER	l eː ɡ eː f uː r eː n ɪ ŋ ə r 
LEGEKONTROLL	l eː ɡ eː k ɔ n t r ɔ l 
LEGEMIDDELFIRMAENE	l eː ɡ eː m ɪ dː ə l f ɪ r m aː n a 
LEGEMIDLER	l eː ɡ eː m ɪ d l ə r 
LEGEMSKRENKELSENE	l eː ɡ ə m s k r ɛ ŋ k ə l s ɛ n a 
LEGEN	l eː ɡ ə n 
LEGENDE	l eː ɡ ɛ n n a 
LEGENE	l eː ɡ ɛ n a 
LEGENES	l eː ɡ eː n ə s 
LEGER	l eː ɡ ə r 
LEGEUNDERSØKELSE	l eː ɡ eː ʉ n n a r ʃ øː k ɛ l s a 
LEGEUTDANNELSE	l eː ɡ eː ʉ t d ɑ n n ɛ l s a 
LEGEVAKT	l eː ɡ eː v ɑ k t 
LEGEVAKTEN	l eː ɡ eː v ɑ k t ə n 
LEGG	l ɛ ɡː 
LEGGE	l ɛ ɡː a 
LEGGER	l ɛ ɡː ə r 
LEGGES	l ɛ ɡː ə s 
LEGITIMERE	l eː j iː t iː m eː r a 
LEGITIMERER	l eː j iː t iː m eː r ə r 
LEGITIMITET	l eː j iː t iː m iː t ə t 
LEI	l aɪ 
LEIDE	l aɪ d a 
LEIE	l aɪ a 
LEIEAVTALE	l aɪ eː ɑ v t a l a 
LEIEAVTALEN	l aɪ eː ɑ v t a l ə n 
LEIER	l aɪ ə r 
LEIERNE	l aɪ a r n a 
LEIES	l aɪ ə s 
LEIETAGER	l aɪ eː t a ɡ ə r 
LEIETAGERE	l aɪ eː t a ɡ eː r a 
LEILIGHET	l aɪ l ɪ ɡ h ə t 
LEILIGHETEN	l aɪ l ɪ ɡ h eː t ə n 
LEILIGHETENS	l aɪ l ɪ ɡ h eː t ə n s 
LEILIGHETER	l aɪ l ɪ ɡ h eː t ə r 
LEIR	l aɪ r 
LEIREN	l aɪ r ə n 
LEIRENE	l aɪ r ɛ n a 
LEK	l eː k 
LEKE	l eː k a 
LEKEKAMERATER	l eː k eː k a m eː r a t ə r 
LEKENDE	l eː k ɛ n n a 
LEKEPLASS	l eː k ə p l ɑ s 
LEKER	l eː k ə r 
LEKSIKON	l ɛ k s iː k uː n 
LEKTE	l ɛ k t a 
LEKTOR	l ɛ k t uː r 
LEN	l eː n 
LENER	l eː n ə r 
LENGDE	l ɛ ŋ d a 
LENGDEN	l ɛ ŋ d ə n 
LENGDER	l ɛ ŋ d ə r 
LENGE	l ɛ ŋ a 
LENGER	l ɛ ŋ ə r 
LENGRE	l ɛ ŋ r a 
LENGSLER	l ɛ ŋ ʃ l ə r 
LENGST	l ɛ ŋ s t 
LENGSTE	l ɛ ŋ s t a 
LENGTER	l ɛ ŋ t ə r 
LENGTET	l ɛ ŋ t ə t 
LENKE	l ɛ ŋ k a 
LENKER	l ɛ ŋ k ə r 
LENSMANN	l ɛ n s m ɑ n 
LENSRESIDENSENES	l ɛ n s r eː s iː d ə n s eː n ə s 
LENSVIK	l ɛ n s v iː k 
LENTE	l ɛ n t a 
LENVIK	l ɛ n v iː k 
LEOPARD	l eː uː p ɑ r 
LEPSØY	l ɛ p s øy 
LER	l eː r 
LERRET	l a r r ə t 
LERVIK	l a r v iː k 
LES	l eː s 
LESE	l eː s a 
LESELIG	l eː s eː l ɪ 
LESELYS	l eː s eː l yː s 
LESENDE	l eː s ɛ n n a 
LESER	l eː s ə r 
LESERE	l eː s eː r a 
LESEREN	l eː s eː r ə n 
LESERENS	l eː s eː r ə n s 
LESEREPUNKTUM	l eː s eː r eː p ʉ ŋ k t ʉː m 
LESERNE	l eː s a r n a 
LESERNES	l eː s a r n ə s 
LESES	l eː s ə s 
LESESALSPLASSER	l eː s eː s ɑ l s p l ɑ s s ə r 
LESESTOFF	l eː s ə s t ɔ f f 
LESEVANER	l eː s eː v a n ə r 
LESING	l eː s ɪ ŋ 
LESJA	l ɛ ʃ ɑ 
LESNING	l ɛ s n ɪ ŋ 
LEST	l ɛ s t 
LESTE	l ɛ s t a 
LETE	l eː t a 
LETER	l eː t ə r 
LETES	l eː t ə s 
LETINGEN	l eː t ɪ ŋ ə n 
LETT	l ɛ tː 
LETTBETJENTE	l ɛ tː b ə ʂ ɛ n t a 
LETTER	l ɛ tː ə r 
LETTERE	l ɛ tː eː r a 
LETTEST	l ɛ tː ɛ s t 
LETTESTE	l ɛ tː ɛ s t a 
LETTET	l ɛ tː ə t 
LETTSINDIGHET	l ɛ tː s ɪ n n ɪ ɡ h ə t 
LETTVINT	l ɛ tː v ɪ n t 
LEVANGER	l eː v ɑ ŋ ə r 
LEVD	l ɛ v d 
LEVDE	l ɛ v d a 
LEVE	l eː v a 
LEVEDYKTIGE	l eː v eː d y k t iː ɡ a 
LEVEKÅR	l eː v eː k oː r 
LEVENDE	l eː v ɛ n n a 
LEVER	l eː v ə r 
LEVERANDØR	l eː v eː r ɑ n n øː r 
LEVERANDØRER	l eː v eː r ɑ n n øː r ə r 
LEVERANSER	l eː v eː r ɑ n s ə r 
LEVERE	l eː v eː r a 
LEVERINGSTIDSPUNKTET	l eː v eː r ɪ ŋ s t ɪ d s p ʉ ŋ k t ə t 
LEVERPOSTEIEN	l eː v a r p ʊ s t aɪ ə n 
LEVERT	l eː v a r t 
LEVES	l eː v ə s 
LEVESTANDARDEN	l eː v ə s t ɑ n n ɑ r d ə n 
LEVETID	l eː v eː t iː d 
LEVNER	l ɛ v n ə r 
LIBERALE	l iː b eː r a l a 
LIBERALISERING	l iː b eː r a l iː s eː r ɪ ŋ 
LIDE	l iː d a 
LIDELSE	l iː d ɛ l s a 
LIDELSEN	l iː d ɛ l s ə n 
LIDELSER	l iː d ɛ l s ə r 
LIDENSKAP	l iː d ə n s k a p 
LIGAEN	l iː ɡ aː n 
LIGGE	l ɪ ɡː a 
LIGGENDE	l ɪ ɡː ɛ n n a 
LIGGER	l ɪ ɡː ə r 
LIGGET	l ɪ ɡː ə t 
LIGNE	l ɪ ŋ n a 
LIGNENDE	l ɪ ŋ n ɛ n n a 
LIGNER	l ɪ ŋ n ə r 
LIK	l iː k 
LIKE	l iː k a 
LIKEDAN	l iː k eː d a n 
LIKEGYLDIG	l iː k eː j y l l ɪ 
LIKEGYLDIGHETEN	l iː k eː j y l l ɪ ɡ h eː t ə n 
LIKER	l iː k ə r 
LIKESTILLING	l iː k ə s t ɪ l l ɪ ŋ 
LIKESTILLINGEN	l iː k ə s t ɪ l l ɪ ŋ ə n 
LIKESTILLINGSARBEIDET	l iː k ə s t ɪ l l ɪ ŋ s ɑ r b aɪ d a 
LIKESTILLINGSOMBUDET	l iː k ə s t ɪ l l ɪ ŋ s ɔ m b ʉː d a 
LIKESTILLINGSPROSESSEN	l iː k ə s t ɪ l l ɪ ŋ s p r uː s ɛ s s ə n 
LIKESTILTHET	l iː k ə s t ɪ l t h ə t 
LIKESÅ	l iː k eː s oː 
LIKET	l iː k ə t 
LIKEVEL	l iː k eː v ə l 
LIKEVERDIG	l iː k eː v a r d ɪ 
LIKEVERDIGE	l iː k eː v a r d iː ɡ a 
LIKHET	l ɪ k h ə t 
LIKHETEN	l ɪ k h eː t ə n 
LIKHETSTREKK	l ɪ k h ə t s t r ɛ kː 
LIKNENDE	l ɪ k n ɛ n n a 
LIKSOM	l ɪ k s uː m 
LIKT	l ɪ k t 
LIKTE	l ɪ k t a 
LIKVIDERT	l ɪ k v iː d a r t 
LILAND	l iː l ɑ n n 
LILLE	l ɪ l l a 
LILLESAND	l ɪ l l eː s ɑ n n 
LILLY	l ɪ l l yː 
LIM	l iː m 
LIME	l iː m a 
LIMOUSINER	l iː m uː ʉː s iː n ə r 
LINDA	l ɪ n n ɑ 
LINDBERG	l ɪ n n b a r ɡ 
LINDESNES	l ɪ n n ɛ s n ə s 
LINDSTAD	l ɪ n n s t a d 
LINJE	l ɪ n j a 
LINJEFØRINGEN	l ɪ n j eː f øː r ɪ ŋ ə n 
LINJENE	l ɪ n j ɛ n a 
LINJER	l ɪ n j ə r 
LINKER	l ɪ ŋ k ə r 
LINSENE	l ɪ n s ɛ n a 
LINSER	l ɪ n s ə r 
LINTRÅD	l ɪ n t r oː d 
LISBET	l ɪ s b ə t 
LISBOA	l ɪ s b uː ɑ 
LISENSPLIKTEN	l iː s ə n s p l ɪ k t ə n 
LIST	l ɪ s t 
LISTE	l ɪ s t a 
LIT	l iː t 
LITE	l iː t a 
LITEN	l iː t ə n 
LITT	l ɪ tː 
LITTERAT	l ɪ tː eː r a t 
LITTERATUR	l ɪ tː eː r a t ʉː r 
LITTERATURELSKERNE	l ɪ tː eː r a t ʉː r ɛ l s k a r n a 
LITTERATUREN	l ɪ tː eː r a t ʉː r ə n 
LITTERATURENPUNKTUM	l ɪ tː eː r a t ʉː r ɛ n p ʉ ŋ k t ʉː m 
LITTERATURHISTORISKE	l ɪ tː eː r a t ʉ r h ɪ s t uː r ɪ s k a 
LITTERATURKRITIKK	l ɪ tː eː r a t ʉ r k r iː t ɪ kː 
LITTERATURPRISEN	l ɪ tː eː r a t ʉ r p r iː s ə n 
LITTERATURSTUDIER	l ɪ tː eː r a t ʉ r ʃ t ʉː d iː ə r 
LITTERATURVITENSKAP	l ɪ tː eː r a t ʉ r v iː t ə n s k a p 
LITTERÆR	l ɪ tː eː r aː r 
LITTERÆRE	l ɪ tː eː r aː r a 
LITTERÆRT	l ɪ tː eː r a r t 
LIV	l iː v 
LIVE	l iː v a 
LIVET	l iː v ə t 
LIVETS	l iː v ɛ t s 
LIVREDDER	l ɪ v r ɛ dː ə r 
LIVS	l ɪ v s 
LIVSANSKUELSE	l ɪ v s ɑ n s k ʉː ɛ l s a 
LIVSBETINGELSER	l ɪ v s b eː t ɪ ŋ ɛ l s ə r 
LIVSERFARING	l ɪ v s a r f a r ɪ ŋ 
LIVSFORM	l ɪ v s f ɔ r m 
LIVSINNHOLD	l ɪ v s ɪ n h ɔ l l 
LIVSKREFTENE	l ɪ v s k r ə f t ɛ n a 
LIVSKVALITETEN	l ɪ v s k v a l iː t eː t ə n 
LIVSSTIL	l ɪ v s s t iː l 
LIVSSYNSSKOLER	l ɪ v s s y n s s k uː l ə r 
LIVSTRUENDE	l ɪ v s t r ʉː ɛ n n a 
LIVSUTFOLDELSE	l ɪ v s ʉ t f ɔ l l ɛ l s a 
LIVSVARIG	l ɪ v s v a r ɪ 
LIVSVIKTIGE	l ɪ v s v ɪ k t iː ɡ a 
LOBBYISTER	l ɔ bː yː ɪ s t ə r 
LODDE	l ɔ dː a 
LOGG	l ɔ ɡː 
LOGGBOK	l ɔ ɡː b uː k 
LOGIKK	l uː j ɪ kː 
LOGISK	l uː j ɪ s k 
LOGO	l uː ɡ uː 
LOHNE	l ɔ h n a 
LOJALITET	l uː j a l iː t ə t 
LOJALITETSBRUDD	l uː j a l iː t ə t s b r ʉ dː 
LOKAL	l uː k a l 
LOKALAVISENE	l uː k a l a v iː s ɛ n a 
LOKALE	l uː k a l a 
LOKALENE	l uː k a l ɛ n a 
LOKALER	l uː k a l ə r 
LOKALET	l uː k a l ə t 
LOKALHISTORIKERE	l uː k ɑ l h ɪ s t uː r iː k eː r a 
LOKALISERINGER	l uː k a l iː s eː r ɪ ŋ ə r 
LOKALSAMFUNNET	l uː k ɑ l s ɑ m f ʉ n n ə t 
LOKALSAMTALENE	l uː k ɑ l s ɑ m t a l ɛ n a 
LOKALT	l uː k ɑ l t 
LOKKE	l ɔ kː a 
LOKKER	l ɔ kː ə r 
LOKKET	l ɔ kː ə t 
LOKKGREP	l ɔ kː ɡ r ə p 
LOMMEFORMAT	l ɔ m m eː f ɔ r m a t 
LOMMEN	l ɔ m m ə n 
LOMMENE	l ɔ m m ɛ n a 
LOMMEPENGER	l ɔ m m eː p ɛ ŋ ə r 
LOMVI	l ɔ m v iː 
LONEVÅG	l uː n eː v oː ɡ 
LONGYEARBYEN	l ɔ ŋ yː eː ɑ r b yː ə n 
LOPPA	l ɔ pː ɑ 
LORENTSEN	l uː r ɛ n t s ə n 
LORENTZEN	l uː r ɛ n t s ə n 
LOSSING	l ɔ s s ɪ ŋ 
LOT	l uː t 
LOTTERIVIRKSOMHET	l ɔ tː eː r iː v ɪ r k s ɔ m h ə t 
LOTTO	l ɔ tː uː 
LOUISE	l uː ʉɪ s a 
LOV	l uː v 
LOVEN	l uː v ə n 
LOVENDE	l uː v ɛ n n a 
LOVENS	l uː v ə n s 
LOVER	l uː v ə r 
LOVET	l uː v ə t 
LOVFESTET	l ɔ v f ɛ s t ə t 
LOVFORTOLKNING	l ɔ v f ʊ r t ɔ l k n ɪ ŋ 
LOVGIVER	l ɔ v j iː v ə r 
LOVISE	l uː v iː s a 
LOVLEG	l ɔ v l ə ɡ 
LOVLIG	l ɔ v l ɪ 
LOVLØSHET	l ɔ v l œ s h ə t 
LOVMESSIG	l ɔ v m ə s s ɪ 
LOVOVERTREDELSER	l uː v uː v a r t r eː d ɛ l s ə r 
LOVPÅLAGT	l ɔ v p oː l ɑ ɡ t 
LOVSTRIDIGE	l ɔ v s t r iː d iː ɡ a 
LOVVERK	l ɔ v v a r k 
LUDVIG	l ʉ d v ɪ 
LUDVIGSEN	l ʉ d v ɪ ɡ s ə n 
LUFT	l ʉ f t 
LUFTEN	l ʉ f t ə n 
LUFTFART	l ʉ f t f ɑ r t 
LUFTHAVNENS	l ʉ f t h ɑ v n ə n s 
LUFTIGE	l ʉ f t iː ɡ a 
LUFTKAMP	l ʉ f t k ɑ m p 
LUFTKOMPRESSOREN	l ʉ f t k ɔ m p r ɛ s s uː r ə n 
LUFTMILJØET	l ʉ f t m ɪ j øː ə t 
LUFTROM	l ʉ f t r uː m 
LUFTSPORT	l ʉ f t s p ʊ r t 
LUFTVEI	l ʉ f t v aɪ 
LUFTVEIENE	l ʉ f t v aɪ ɛ n a 
LUKEN	l ʉː k ə n 
LUKK	l ʉ kː 
LUKKEDE	l ʉ kː eː d a 
LUKKER	l ʉ kː ə r 
LUKKES	l ʉ kː ə s 
LUKKET	l ʉ kː ə t 
LUKSUSVARER	l ʉ k s ʉ s v a r ə r 
LUKTE	l ʉ k t a 
LUKTER	l ʉ k t ə r 
LUMSK	l ʉ m s k 
LUN	l ʉː n 
LUNCH	l ʉ n ʃ 
LUNDE	l ʉ n n a 
LUNE	l ʉː n a 
LUNSJPAUSEN	l ʉ n ʃ p aʊ s ə n 
LUPE	l ʉː p a 
LURE	l ʉː r a 
LURER	l ʉː r ə r 
LURESTE	l ʉː r ɛ s t a 
LURPUNKTUM	l ʉ r p ʉ ŋ k t ʉː m 
LURT	l ʉ r t 
LURTE	l ʉ r t a 
LURØY	l ʉː r øy 
LUXEMBORG	l ʉː k s ə m b ɔ r ɡ 
LYD	l yː d 
LYDBOKMARKEDET	l y d b ɔ k m ɑ r k eː d a 
LYDDE	l y dː a 
LYDEFFEKTER	l yː d ə f f ɛ k t ə r 
LYDEN	l yː d ə n 
LYDENE	l yː d ɛ n a 
LYDER	l yː d ə r 
LYDGJENGIVELSE	l y d j ə ŋ iː v ɛ l s a 
LYDISOLASJONEN	l yː d iː s uː l ɑ ʃ uː n ə n 
LYDKORT	l y d k ʊ r t 
LYDMESSIG	l y d m ə s s ɪ 
LYDMESSIGE	l y d m ə s s iː ɡ a 
LYDNIVÅ	l y d n iː v oː 
LYDOPPTAK	l yː d ɔ pː t a k 
LYDPRODUKSJON	l y d p r uː d ʉ k ʃ uː n 
LYKKE	l y kː a 
LYKKELIG	l y kː eː l ɪ 
LYKKELIGE	l y kː eː l iː ɡ a 
LYKKELIV	l y kː eː l iː v 
LYKKES	l y kː ə s 
LYKTES	l y k t ə s 
LYNGSEIDET	l y ŋ s aɪ d a 
LYNGSTAD	l y ŋ s t a d 
LYNRASKT	l y n r ɑ s k t 
LYRIKKENS	l yː r ɪ kː ə n s 
LYRISK	l yː r ɪ s k 
LYRISKE	l yː r ɪ s k a 
LYS	l yː s 
LYSBEHANDLINGSUTSTYRET	l y s b eː h ɑ n n l ɪ ŋ s ʉ t s t yː r ə t 
LYSBILDESERIEN	l y s b ɪ l l eː s eː r iː ə n 
LYSE	l yː s a 
LYSEBOTN	l yː s eː b ɔ t n 
LYSENE	l yː s ɛ n a 
LYSERE	l yː s eː r a 
LYSET	l yː s ə t 
LYSPUNKTET	l y s p ʉ ŋ k t ə t 
LYSPUNKTUM	l y s p ʉ ŋ k t ʉː m 
LYST	l y s t 
LYSTEN	l y s t ə n 
LYSTEPUNKTUM	l y s t eː p ʉ ŋ k t ʉː m 
LYSTERAPI	l y s t eː r a p iː 
LYSTIG	l y s t ɪ 
LYSTNE	l y s t n a 
LYSUTSTYR	l yː s ʉ t s t yː r 
LYSVERKER	l y s v a r k ə r 
LYSÅR	l yː s oː r 
LYTT	l y tː 
LYTTE	l y tː a 
LYTTER	l y tː ə r 
LYTTERE	l y tː eː r a 
LYTTET	l y tː ə t 
LÅ	l oː 
LÅN	l oː n 
LÅNENE	l oː n ɛ n a 
LÅNESITUASJONEN	l oː n eː s iː t ʉː ɑ ʃ uː n ə n 
LÅS	l oː s 
LÅTENE	l oː t ɛ n a 
LÆRDAL	l a r d a l 
LÆRDOM	l a r d uː m 
LÆRE	l aː r a 
LÆREBOK	l aː r eː b uː k 
LÆREBOKA	l aː r eː b uː k ɑ 
LÆREBOKEN	l aː r eː b uː k ə n 
LÆREBØKER	l aː r eː b øː k ə r 
LÆREPLANEN	l aː r ə p l a n ə n 
LÆREPLANER	l aː r ə p l a n ə r 
LÆRER	l aː r ə r 
LÆRERE	l aː r eː r a 
LÆREREN	l aː r eː r ə n 
LÆRERENS	l aː r eː r ə n s 
LÆRERIK	l aː r eː r iː k 
LÆRERIKT	l aː r eː r ɪ k t 
LÆRERNE	l aː r a r n a 
LÆRERSKOLEN	l aː r a r ʃ k uː l ə n 
